%time,field.x,field.y,field.z
8248.977,-6.13258379418863,1.8288556948029435,1.5311310736183499
8248.979,-6.132752381722305,1.8285949267685224,1.531143067575653
8248.98,-6.132920958796344,1.828334132671527,1.531155074146279
8248.981,-6.133089525470006,1.8280733124726594,1.531167093469918
8248.981,-6.13325808180254,1.8278124661283845,1.5311791261197858
8248.983,-6.133426627851304,1.8275515935966693,1.5311911726036014
8248.984,-6.1335951636713775,1.8272906948355743,1.5312032333718522
8248.985,-6.133763689315343,1.8270297698030913,1.531215308822318
8248.986,-6.133932204830448,1.826768818463717,1.53122739863564
8248.986,-6.134100710260923,1.8265078407802493,1.5312395024921506
8248.988,-6.134269205648565,1.8262468367157294,1.5312516200695518
8248.989,-6.134437691033397,1.8259858062337224,1.531263751044869
8248.99,-6.1346061664528895,1.8257247492968065,1.5312758951855345
8248.991,-6.134774631942429,1.825463665869191,1.5312880522513121
8248.992,-6.1349430875363895,1.8252025559143916,1.5313002219979346
8248.993,-6.135111533268996,1.8249414193952807,1.5313124041762776
8248.994,-6.135279969176886,1.8246802562716595,1.531324598882733
8248.995,-6.1354483952965,1.8244190665045685,1.5313368061860155
8248.996,-6.1356168116636285,1.8241578500557052,1.5313490261318436
8248.997,-6.135785218313018,1.8238966068869555,1.5313612587458554
8248.998,-6.135953615278942,1.8236353369647298,1.5313735036664995
8248.999,-6.136122002594578,1.8233740402523573,1.5313857605226542
8249.0,-6.136290380291549,1.8231127167145498,1.5313980289308624
8249.001,-6.136458748399568,1.822851366317883,1.5314103085011432
8249.002,-6.136627106948174,1.8225899890214212,1.5314225999631201
8249.002,-6.136795455964343,1.8223285847821789,1.5314349039264261
8249.004,-6.136963795472976,1.8220671535607387,1.5314472208898837
8249.005,-6.137132125497492,1.8218056953217223,1.5314595512584708
8249.006,-6.137300446055717,1.8215442100371166,1.531471894664681
8249.006,-6.137468757164766,1.821282697680449,1.5314842507363442
8249.007,-6.137637058841181,1.821021158224519,1.5314966190973327
8249.008,-6.13780535110091,1.8207595916421648,1.5315089993645776
8249.01,-6.137973633958374,1.820497997905803,1.5315213912210897
